,,ANGER,FEAR,SADNESS,JOY,DISGUST,TRUST,SURPRISE,ANTICIPATION,POSITIVE,NEGATIVE
VB,abandon,0,1,1,0,0,0,0,0,0,1
VB,abandoned,0,1,1,0,0,0,0,0,0,1
VB,abhor,1,0,0,0,1,0,0,0,0,1
VB,abolish,0,0,0,0,0,0,0,0,0,0
VB,absent,0,0,0,0,0,0,0,0,0,0
VB,abuse,1,1,1,0,1,0,0,0,0,1
VB,accelerate,0,0,0,0,0,0,0,1,0,0
VB,accomplish,0,0,0,1,0,0,0,0,1,0
VB,accord,0,0,0,0,0,1,0,0,1,0
VB,account,0,0,0,0,0,1,0,0,1,0
VB,accredit,0,0,0,0,0,1,0,0,1,0
VB,accurse,0,1,0,0,1,0,0,0,0,1
VB,accuse,1,1,0,0,1,0,0,0,0,1
VB,ache,0,0,1,0,0,0,0,0,0,1
VB,achieve,0,0,0,1,0,1,0,0,1,0
VB,acquire,0,0,0,0,0,0,0,1,0,0
VB,address,0,0,0,0,0,0,0,0,0,0
VB,adhere,0,0,0,0,0,1,0,0,1,0
VB,adjudicate,0,0,0,0,0,0,0,0,0,0
VB,admire,0,0,0,0,0,1,0,0,1,0
VB,adore,0,0,0,1,0,1,0,1,1,0
VB,advance,0,0,0,1,0,0,0,1,1,0
VB,adventure,0,0,0,0,0,0,0,1,0,0
VB,advise,0,0,0,0,0,0,0,0,0,0
VB,advocate,0,0,0,0,0,0,0,0,0,0
VB,affirm,0,0,0,0,0,1,0,0,1,0
VB,afflict,0,0,1,0,1,0,0,0,0,1
VB,affront,1,1,1,0,1,0,0,0,0,1
VB,aggravate,1,0,0,0,0,0,0,0,0,1
VB,agitate,1,0,0,0,0,0,0,0,0,1
VB,agonize,0,1,0,0,0,0,0,0,0,1
VB,agree,0,0,0,0,0,0,0,0,0,0
VB,ail,0,0,1,0,0,0,0,0,0,1
VB,air,0,0,0,0,0,0,0,0,0,0
VB,alarm,0,1,0,0,0,0,1,0,0,1
VB,alert,0,1,0,0,0,0,1,1,0,1
VB,alien,0,0,0,0,0,0,0,0,0,0
VB,alienate,0,0,0,0,1,0,0,0,0,1
VB,allure,0,0,0,0,1,0,0,1,0,1
VB,ally,0,0,0,0,0,1,0,0,1,0
VB,amaze,0,0,0,1,0,0,1,0,1,0
VB,ambition,0,0,0,0,0,0,0,1,0,0
VB,ambush,1,1,0,0,0,0,1,0,0,1
VB,amnesty,0,0,0,1,0,0,0,0,1,0
VB,amuse,0,0,0,1,0,0,0,0,1,0
VB,anger,1,0,0,0,0,0,0,0,0,1
VB,angle,0,0,0,0,0,0,0,0,0,0
VB,anguish,1,1,1,0,0,0,0,0,0,1
VB,animate,0,0,0,1,0,0,0,0,1,0
VB,annihilate,1,1,0,0,0,0,0,0,0,1
VB,annoy,1,0,0,0,1,0,0,0,0,1
VB,apologize,0,0,1,0,0,1,0,0,1,1
VB,appal,0,1,0,0,1,0,0,0,0,1
VB,appeal,0,0,0,0,0,0,0,0,0,0
VB,apprehend,0,1,0,0,0,0,0,0,0,1
VB,apprentice,0,0,0,0,0,0,0,0,0,0
VB,approve,0,0,0,0,0,1,0,0,1,0
VB,argue,1,0,0,0,0,0,0,0,0,1
VB,arm,0,0,0,0,0,0,0,0,0,0
VB,armor,0,0,0,0,0,0,0,0,0,0
VB,arouse,0,0,0,0,0,0,0,1,0,0
VB,arrive,0,0,0,0,0,0,0,0,0,0
VB,ash,0,0,1,0,0,0,0,0,0,1
VB,aspire,0,0,0,1,0,0,0,1,1,0
VB,assail,1,1,0,0,0,0,1,0,0,1
VB,assassinate,1,1,0,0,0,0,0,0,0,1
VB,assault,1,1,0,0,0,0,0,0,0,1
VB,assert,0,0,0,0,0,1,0,0,1,0
VB,assist,0,0,0,0,0,1,0,0,1,0
VB,associate,0,0,0,0,0,0,0,0,0,0
VB,assure,0,0,0,0,0,1,0,0,1,0
VB,atone,0,0,0,1,0,1,0,1,1,0
VB,atrophy,0,0,1,0,1,0,0,0,0,1
VB,attack,1,1,0,0,0,0,0,0,0,1
VB,attempt,0,0,0,0,0,0,0,1,0,0
VB,attest,0,0,0,0,0,1,0,0,1,0
VB,auction,0,0,0,0,0,0,0,0,0,0
VB,authenticate,0,0,0,0,0,1,0,0,1,0
VB,author,0,0,0,0,0,0,0,0,0,0
VB,authorize,0,0,0,0,0,1,0,0,1,0
VB,autopsy,0,0,0,0,0,0,0,0,0,0
VB,avalanche,0,0,0,0,0,0,0,0,0,0
VB,avoid,0,0,0,0,0,0,0,0,0,0
VB,await,0,0,0,0,0,0,0,1,0,0
VB,award,0,0,0,1,0,0,1,1,1,0
VB,baby,0,0,0,1,0,0,0,0,1,0
VB,badge,0,0,0,0,0,0,0,0,0,0
VB,badger,0,0,0,0,1,0,0,0,0,1
VB,bait,0,1,0,0,1,0,0,0,0,1
VB,bale,0,0,0,0,0,0,0,0,0,0
VB,ballot,0,0,0,0,0,0,0,0,0,0
VB,bang,1,1,1,0,1,0,0,0,0,1
VB,banish,0,1,1,0,1,0,0,0,0,1
VB,bank,0,0,0,0,0,0,0,0,0,0
VB,bankrupt,0,1,1,0,0,0,0,0,0,1
VB,banquet,0,0,0,1,0,0,0,1,1,0
VB,barb,1,0,0,0,0,0,0,0,0,1
VB,barf,0,0,0,0,1,0,0,0,0,1
VB,bargain,0,0,0,0,0,1,0,0,1,0
VB,bark,1,0,0,0,0,0,0,0,0,1
VB,barricade,0,0,0,0,0,0,0,0,0,0
VB,barter,0,0,0,0,0,0,0,0,0,0
VB,base,0,0,0,0,0,0,0,0,0,0
VB,batter,1,1,0,0,0,0,0,0,0,1
VB,battle,1,0,0,0,0,0,0,0,0,1
VB,bayonet,1,1,0,0,0,0,0,0,0,1
VB,beach,0,0,0,0,0,0,0,0,0,0
VB,beam,0,0,0,1,0,0,0,0,1,0
VB,bear,0,0,0,0,0,0,0,0,0,0
VB,beat,1,1,1,0,0,0,0,0,0,1
VB,beautify,0,0,0,1,0,0,0,0,1,0
VB,befriend,0,0,0,1,0,1,0,0,1,0
VB,beg,0,0,0,0,1,0,0,0,0,1
VB,beggar,0,0,0,0,1,0,0,0,0,1
VB,begun,0,0,0,0,0,0,0,1,0,0
VB,believe,0,0,0,0,0,1,0,0,1,0
VB,belittle,0,0,1,0,1,0,0,0,0,1
VB,bellow,1,0,0,0,0,0,0,0,0,1
VB,belt,1,1,0,0,0,0,0,0,0,1
VB,bereave,0,0,1,0,0,0,0,0,0,1
VB,betray,0,0,1,0,1,0,0,0,0,1
VB,betroth,0,0,0,1,0,1,0,1,1,0
VB,beware,0,1,0,0,0,0,0,1,0,1
VB,bewilder,0,1,0,0,0,0,1,0,0,1
VB,bias,0,0,0,0,1,0,0,0,0,1
VB,bicker,1,0,0,0,1,0,0,0,0,1
VB,birch,0,0,0,0,0,0,0,0,0,0
VB,birth,0,0,0,1,0,0,0,1,1,0
VB,bitch,1,1,1,0,1,0,0,0,0,1
VB,black,0,0,0,0,0,0,0,0,0,0
VB,blackmail,1,1,0,0,0,0,0,0,0,1
VB,blame,1,0,0,0,1,0,0,0,0,1
VB,blanket,0,0,0,0,0,0,0,0,0,0
VB,blast,1,1,0,0,0,0,1,0,0,1
VB,blaze,1,0,0,0,0,0,0,0,0,1
VB,bleed,0,1,1,0,1,0,0,0,0,1
VB,blemish,1,1,1,0,1,0,0,0,0,1
VB,bless,0,0,0,1,0,1,0,1,1,0
VB,blight,0,0,1,0,1,0,0,0,0,1
VB,blindfold,0,0,0,0,0,0,0,0,0,0
VB,blister,0,0,0,0,1,0,0,0,0,1
VB,blitz,1,0,0,0,0,0,1,0,0,1
VB,bloat,0,0,0,0,1,0,0,0,0,1
VB,blob,0,0,0,0,1,0,0,0,0,1
VB,blockade,1,1,1,0,0,0,0,0,0,1
VB,bloody,1,1,1,0,1,0,0,0,0,1
VB,bloom,0,0,0,1,0,0,0,1,1,0
VB,blossom,0,0,0,1,0,0,0,1,1,0
VB,blue,0,0,0,0,0,0,0,0,0,0
VB,blunder,0,0,1,0,1,0,0,0,0,1
VB,board,0,0,0,0,0,0,0,0,0,0
VB,boil,0,0,0,0,0,0,0,0,0,0
VB,bomb,1,1,0,0,0,0,0,0,0,1
VB,bombard,1,1,0,0,0,0,0,0,0,1
VB,boomerang,0,0,0,0,0,0,0,1,0,0
VB,bother,1,0,1,0,0,0,0,0,0,1
VB,bottom,0,0,0,0,0,0,0,0,0,0
VB,box,0,0,0,0,0,0,0,0,0,0
VB,brawl,1,1,0,0,1,0,0,0,0,1
VB,brazen,1,0,0,0,0,0,0,0,0,1
VB,break,1,0,1,0,0,0,0,0,0,1
VB,brigade,1,1,0,0,0,0,0,0,0,1
VB,brighten,0,0,0,1,0,1,1,0,1,0
VB,broadside,0,0,0,0,0,0,0,1,0,0
VB,broil,0,0,0,0,0,0,0,0,0,0
VB,bruise,1,0,1,0,0,0,0,0,0,1
VB,buck,0,0,0,0,0,0,1,0,0,0
VB,budget,0,0,0,0,0,0,0,0,0,0
VB,buffet,1,0,0,0,0,0,0,0,0,1
VB,bug,0,0,0,0,1,0,0,0,0,1
VB,bugle,0,0,0,0,0,0,0,0,0,0
VB,bully,1,1,0,0,0,0,0,0,0,1
VB,bum,0,0,1,0,1,0,0,0,0,1
VB,bunker,0,0,0,0,0,0,0,0,0,0
VB,burke,1,1,1,0,1,0,0,0,0,1
VB,burlesque,0,0,0,0,0,0,0,0,0,0
VB,burnt,0,0,0,0,1,0,0,0,0,1
VB,bury,0,1,1,0,0,0,0,0,0,1
VB,buss,0,0,0,1,0,0,0,0,1,0
VB,bust,1,1,0,0,1,0,0,0,0,1
VB,butcher,0,0,0,0,0,0,0,0,0,0
VB,buzz,0,0,0,0,0,0,0,0,0,0
VB,cabal,0,1,0,0,0,0,0,0,0,1
VB,cable,0,0,0,0,0,0,0,0,0,0
VB,cage,0,0,1,0,0,0,0,0,0,1
VB,call,0,0,0,0,0,0,0,0,0,0
VB,callous,1,0,0,0,1,0,0,0,0,1
VB,camouflage,0,0,0,0,0,0,0,0,0,0
VB,campaign,0,0,0,0,0,0,0,0,0,0
VB,cancel,0,0,0,0,0,0,0,0,0,0
VB,cane,1,1,0,0,0,0,0,0,0,1
VB,canker,1,0,0,0,1,0,0,0,0,1
VB,cannon,1,1,0,0,0,0,0,0,0,1
VB,cap,0,0,0,0,0,0,0,0,0,0
VB,captivate,0,0,0,1,0,1,1,1,1,0
VB,career,0,0,0,0,0,0,0,1,0,0
VB,carol,0,0,0,1,0,0,0,0,1,0
VB,case,0,1,1,0,0,0,0,0,0,1
VB,cash,0,0,0,0,0,0,0,0,0,0
VB,cashier,0,0,1,0,1,0,0,0,0,1
VB,casket,0,1,1,0,0,0,0,0,0,1
VB,catch,0,0,0,0,0,0,1,0,0,0
VB,caution,1,1,0,0,0,0,0,1,0,1
VB,celecbrate,0,0,0,1,0,0,0,1,1,0
VB,cement,0,0,0,0,0,1,0,1,1,0
VB,censor,0,0,0,0,0,0,0,0,0,0
VB,center,0,0,0,0,0,0,0,0,0,0
VB,certify,0,0,0,0,0,1,0,0,1,0
VB,chaff,1,0,0,0,1,0,0,0,0,1
VB,chagrin,0,0,1,0,1,0,0,0,0,1
VB,chairman,0,0,0,0,0,1,0,0,1,0
VB,challenge,1,0,0,0,0,0,0,0,0,1
VB,champion,0,0,0,0,0,0,0,1,0,0
VB,chance,0,0,0,0,0,0,1,0,0,0
VB,change,0,0,0,0,0,0,0,0,0,0
VB,chant,0,0,0,0,0,0,0,0,0,0
VB,charm,0,0,0,1,0,0,0,0,1,0
VB,chart,0,0,0,0,0,0,0,0,0,0
VB,cheat,1,0,0,0,1,0,0,0,0,1
VB,cheer,0,0,0,1,0,0,1,0,1,0
VB,cherish,0,0,0,1,0,1,1,1,1,0
VB,chicane,1,0,0,0,1,0,0,0,0,1
VB,chirp,0,0,0,0,0,0,0,0,0,0
VB,choir,0,0,0,1,0,0,0,0,1,0
VB,choke,1,0,1,0,0,0,0,0,0,1
VB,chronicle,0,0,0,0,0,0,0,0,0,0
VB,chuckle,0,0,0,1,0,0,1,1,1,0
VB,church,0,0,0,0,0,0,0,0,0,0
VB,civilize,0,0,0,0,0,0,0,0,0,0
VB,clamor,1,0,0,0,1,0,0,0,0,1
