,POSITIVE,NEGATIVE,ANGER,ANTICIPATION,DISGUST,FEAR,JOY,SADNESS,SURPRISE,TRUST,,,,,,,,,,,,,,,,,,,
abandon,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
abandoned,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
abandonment,0,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,fear|sadness,,fear,sadness,,,
abduction,0,1,0,0,0,1,0,1,1,0,,,,,,,,,,,,,fear|sadness|surprise,,fear,sadness,surprise,,
aberration,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
abhor,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
abhorrent,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,anger|disgust,,anger,disgust,,,
abject,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
abnormal,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,disgust,,disgust,,,,
abominable,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,disgust|fear,,disgust,fear,,,
abomination,0,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,,anger|disgust|fear,,anger,disgust,fear,,
abortion,0,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,disgust|fear|sadness,,disgust,fear,sadness,,
abortive,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,sadness,,sadness,,,,
abrupt,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,surprise,,surprise,,,,
absolution,1,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,joy|trust,,joy,trust,,,
abuse,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,anger|disgust|fear|sadness,,anger,disgust,fear,sadness,
accelerate,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
accident,0,1,0,0,0,1,0,1,1,0,,,,,,,,,,,,,fear|sadness|surprise,,fear,sadness,surprise,,
accidental,0,1,0,0,0,1,0,0,1,0,,,,,,,,,,,,,fear|surprise,,fear,surprise,,,
accidentally,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,surprise,,surprise,,,,
accolade,1,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,anticipation|joy,,anticipation,joy,,,
accompaniment,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,anticipation,,anticipation,,,,
accomplish,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
accomplished,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,joy,,joy,,,,
accord,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
account,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
accountability,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
accountable,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
accredit,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
accredited,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
accurate,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,trust,,trust,,,,
